Name,Total lvl
Qlydde,99
Joaqoon,121
RickySloth,139
R1ngg,152
Vegeta xzx,336
Fluffehhlove,383
JennaTalia9,406
HCFireboy509,419
SirWicked2,537
Mr-Dimmadome,538
Zintosso,605
Ironman Vozy,792
Tigrevu,834
HCIMBane,908
frostyblue7,932
xOGTripleOGx,991
C9 Atrane,1171
ETK Slay,1240
IceNooby,1399
Erika Lynne,1544
Tovarius,1606
Eleanoreva,1651
ImTheProblem,1705
Cynical-Nerd,1741
KitKatElaina,1796
ETK Domstar0,1813
Ms ETK,1844
Zerathor,1848
LT Trev,1860
Rs Lord,1953
ETK marshall,1964
Shania Loves,1974
Takoya,1993
Sleezus,2006
ijustgotreal,2012
FlameFox XDD,2021
Alex_853,2055
ETK Lykos,2075
Pontificate,2127
ETK Wolf,2144
Aroniero,2156
Corgee,2179
Frankibidou,2180
CreatureSoul,2184
StormPeakz,2202
ETK Prince,2213
Sammie2532,2226
Lynn63,2235
ETK Brisingr,2235
ETK Thorin,2240
Mail Call,2244
G0DWAR,2267
Mr Kumlin,2269
xPathsOfPain,2271
HisKageness,2277
Shinocksa50,2310
Turtlesprint,2327
Lord Mager,2330
Slayerpro268,2344
Reaper Joe,2347
EllieRoses,2349
ETK Panda,2366
Brazinx69,2368
Seshomarou,2377
Joymar,2381
Take Fight,2386
Andalusia,2399
Zorrezias,2412
Osva Labas,2416
Promise Babe,2420
Kairomitsu,2439
Prado,2445
Combustive,2461
Kaezarh,2495
Hey Cheyenne,2502
Daretoachv,2525
ETK Onyx,2527
Jyxxe,2530
Bumo,2539
Gunmaster422,2541
Rinodentist,2551
Vivia,2556
Rubin McLit,2557
SteakAndEggs,2562
Alhifar,2573
ETK Canadian,2597
Im Just Fat,2612
ETK Mando,2616
Austiin,2622
Mythicized,2625
Ben7196,2628
ETK Br34an,2629
ZeroArcanist,2650
monktastik,2667
Pestilance7,2676
Rioichi,2686
ETK lKris,2689
Sheilen,2697
N E R V,2698
123 Zeus,2708
Crideceon,2712
Blackcat1618,2712
EazyUK,2713
Aggie 94,2725
Tigervu,2727
tuskawraith,2730
Foreverr420,2732
I Leiphie I,2733
Iristelessa,2735
iLuthonic,2737
wahtdaef,2737
ETK ThotGod,2754
garh1993,2764
P_of_death,2768
MaleficentMe,2773
LethalSeraph,2784
VaticanCameo,2785
CorruptVicar,2788
Glacyte,2797
Hayki,2798
eMaG dNiM,2805
Hamuod,2806
Aczinor9,2811
SirWicked,2815
Mitsyangel,2817
Deathmall,2818
Kami Samah,2825
Clifloku,2830
Madhura01,2831
FrogHam,2831
Hera Selene,2839
Mechchaser0,2849
Drizzt Wrath,2850
X1 Noodle,2851
Raime,2854
Cerene,2868
Sticky Pears,2874
gision,2877
Fireboy509,2879
Love-N-Greed,2883
Sheivot,2888
Icekro,2895
IceKrystalx,2898
Trimmed,2898
jothela,2898
MyFinestDays,2898
